"user_id","birthdate","gender","married","has_children","home_country","home_city","home_airport","home_airport_lat","home_airport_lon","sign_up_date"
"23557","1958-12-08","F","true","false","usa","new york","LGA","40.777","-73.872","2021-07-22"
"94883","1972-03-16","F","true","false","usa","kansas city","MCI","39.297","-94.714","2022-02-07"
"101486","1972-12-07","F","true","true","usa","tacoma","TCM","47.138","-122.476","2022-02-17"
"101961","1980-09-14","F","true","false","usa","boston","BOS","42.364","-71.005","2022-02-17"
"106907","1978-11-17","F","true","true","usa","miami","TNT","25.862","-80.897","2022-02-24"
"118043","1972-05-04","F","false","true","usa","los angeles","LAX","33.942","-118.408","2022-03-10"
"120851","1972-09-25","F","true","true","usa","santa ana","SNA","33.676","-117.868","2022-03-13"
"125845","1983-12-01","F","true","false","usa","el paso","BIF","31.849","-106.38","2022-03-19"
"133058","2005-04-07","F","false","false","usa","austin","AUS","30.194","-97.67","2022-03-27"
"149058","1973-01-22","F","false","true","usa","birmingham","BHM","33.563","-86.753","2022-04-14"
"152583","1986-07-26","F","false","false","usa","colorado springs","COS","38.806","-104.7","2022-04-17"
"153982","1978-08-15","F","false","true","canada","toronto","YKZ","43.862","-79.37","2022-04-19"
"160754","1977-12-06","F","true","true","usa","new york","LGA","40.777","-73.872","2022-04-26"
"164522","1975-11-07","F","true","false","usa","kansas city","MCI","39.297","-94.714","2022-04-30"
"167852","2006-02-16","F","false","false","usa","tampa","MCF","27.849","-82.521","2022-05-03"
"171470","1999-09-14","F","false","false","usa","atlanta","ATL","33.64","-84.427","2022-05-06"
"174997","1991-11-01","F","false","false","usa","grand rapids","GRR","42.881","-85.523","2022-05-10"
"175032","1994-11-05","F","false","false","usa","houston","IAH","29.98","-95.34","2022-05-10"
"181157","1970-08-10","F","true","false","usa","houston","HOU","29.645","-95.279","2022-05-15"
"182191","2004-09-27","F","false","true","usa","phoenix","PHX","33.434","-112.008","2022-05-16"
"187212","1969-02-20","F","true","true","usa","los angeles","LAX","33.942","-118.408","2022-05-21"
"189676","1988-01-10","F","false","true","usa","fort worth","FTW","32.82","-97.362","2022-05-23"
"190866","1986-09-24","F","false","false","usa","tallahassee","TLH","30.396","-84.35","2022-05-24"
"195192","1995-09-20","F","false","false","usa","chicago","MDW","41.786","-87.752","2022-05-28"
"204943","1982-12-20","M","false","false","canada","ottawa","YOW","45.323","-75.669","2022-06-06"
"204997","1985-08-26","F","true","false","usa","kansas city","MCI","39.297","-94.714","2022-06-06"
"205044","1983-08-25","F","true","true","canada","toronto","YKZ","43.862","-79.37","2022-06-06"
"206011","1984-08-04","F","false","true","usa","kansas city","MCI","39.297","-94.714","2022-06-07"
"216796","2001-07-09","F","false","false","usa","cincinnati","CVG","39.046","-84.662","2022-06-16"
"217114","2004-05-28","O","true","true","usa","long beach","LGB","33.818","-118.151","2022-06-17"
"217136","1985-04-18","F","false","true","usa","little rock","LIT","34.729","-92.224","2022-06-17"
"220725","1983-07-28","F","false","false","usa","stockton","SCK","37.894","-121.239","2022-06-20"
"224996","1981-03-07","F","false","true","canada","halifax","YHZ","44.881","-63.509","2022-06-23"
"226367","1980-10-21","F","false","false","usa","washington","IAD","38.944","-77.456","2022-06-25"
"228195","1997-02-26","F","false","true","usa","los angeles","LAX","33.942","-118.408","2022-06-26"
"228872","1989-03-22","M","false","false","usa","san antonio","RND","29.529","-98.279","2022-06-27"
"229009","2006-08-27","F","false","false","usa","stockton","SCK","37.894","-121.239","2022-06-27"
